,name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
32,"Kodakaa Koteswar Rao - From ""Agnyaathavaasi""",Anirudh Ravichander,https://open.spotify.com/embed/track/0A9tAPF8xAi0k2Q7lNiACg?utm_source=generator,0.764,0.499,0.217,0.8190947286867905,0.288,romantic
33,Sitharangi,Sunny Austin,https://open.spotify.com/embed/track/1Ur54HzTsoPVweL7Ybalq1?utm_source=generator,0.833,0.623,0.036,0.7783604994189338,0.16,romantic
34,Akalesthey,Devi Sri Prasad,https://open.spotify.com/embed/track/6yVeYqlH4yUGgMFoBa1qlA?utm_source=generator,0.889,0.0371,0.0568,0.6915581513155935,0.0595,energetic
35,Yemani Pogadudume,S. P. Balasubrahmanyam,https://open.spotify.com/embed/track/39CXE5xdb4ZbFRTTei3Tuk?utm_source=generator,0.574,0.422,0.323,0.752167823832653,0.0488,romantic
36,Nuv Nakem Kavu,Naresh Penta,https://open.spotify.com/embed/track/1oEptnZ4BuzUnumXDAFYeB?utm_source=generator,0.736,0.809,0.12,0.7302363002473257,0.0351,Chill
37,O Pilla (TELUGU),Devi Sri Prasad,https://open.spotify.com/embed/track/1hmHzSfyVerXSYiY1Qq4Vx?utm_source=generator,0.842,0.174,0.065,0.7675437289549749,0.19,energetic
38,Aa Devudela Vuntaadani,J. V. Raghavulu,https://open.spotify.com/embed/track/2yqb9e1mJO6RSoxBFPcVlu?utm_source=generator,0.64,0.96,0.138,0.6670937751422867,0.0618,Chill
39,Pranavalaya,Mickey J. Meyer,https://open.spotify.com/embed/track/1khlL3DxRKVWhoYAQvjNmi?utm_source=generator,0.517,0.426,0.113,0.733663100807533,0.102,romantic
40,Selavanuko,Anup Rubens,https://open.spotify.com/embed/track/6ciYv5q2QoZo1lBTdDfzRT?utm_source=generator,0.74,0.842,0.106,0.6279090556929587,0.0386,Chill
41,Rama Rama,Devi Sri Prasad,https://open.spotify.com/embed/track/5XPhao7RM49t5OKNHE6ZVJ?utm_source=generator,0.647,0.0688,0.0996,0.8068178432015257,0.105,energetic
42,Prema Yatralaku,Ghantasala,https://open.spotify.com/embed/track/1M8XiKte4skpdbNYHwjLpB?utm_source=generator,0.641,0.981,0.337,0.5366369677284784,0.0975,Chill
43,Elegeylaga,Mani Sharma,https://open.spotify.com/embed/track/6mSZiIekGnSwCP3brOS9Iw?utm_source=generator,0.845,0.065,0.0733,0.7371494978992224,0.0481,energetic
44,Bangala Kathamulo,Ramana Gogula,https://open.spotify.com/embed/track/0iKtQHMwA3k3NeKFWo17eN?utm_source=generator,0.854,0.394,0.134,0.7164695014750142,0.0863,romantic
45,Yuvakula,Thaman S,https://open.spotify.com/embed/track/6UGkpZUshokRYSUuLeb2wT?utm_source=generator,0.828,0.441,0.117,0.7468041359992849,0.2,romantic
46,Adugaduguna Neetho Rana,Shravan Goud Writes,https://open.spotify.com/embed/track/21jacqxMqPfeoV59jySKz3?utm_source=generator,0.57,0.312,0.143,0.6184630054530826,0.0409,romantic
47,Ammo Vaadevado Gaani,Various Artists,https://open.spotify.com/embed/track/0sJwJGM7xmhGRrUsjPISj3?utm_source=generator,0.758,0.417,0.243,0.6700736017163802,0.174,romantic
48,F. T. V. Figaralle,Devi Sri Prasad,https://open.spotify.com/embed/track/2Ni6m3h2LXGmywo5IFsNi9?utm_source=generator,0.873,0.0888,0.306,0.7222503650287554,0.11,energetic
49,Pachchadanamey,A.R. Rahman,https://open.spotify.com/embed/track/5eQYzdcEDOhvJ4ClsUQB3C?utm_source=generator,0.536,0.387,0.367,0.4059119759230013,0.0647,romantic
50,Chakkani Bike Undi,Devi Sri Prasad,https://open.spotify.com/embed/track/6f4pEL7EpzQAdSqVsYQtvz?utm_source=generator,0.82,0.228,0.0997,0.8798533925325547,0.114,energetic
51,Le Le Lele,Mani Sharma,https://open.spotify.com/embed/track/0HnfMJhNQTHI8RnRktYINb?utm_source=generator,0.908,0.0142,0.0549,0.7433177389075957,0.0643,energetic
52,Chilipiga,Harris Jayaraj,https://open.spotify.com/embed/track/5J3Gykr4QdXzgbRGlusUrM?utm_source=generator,0.658,0.411,0.157,0.668375100569147,0.0271,romantic
53,Alluda Garelu Vandala,Rap Rock Shakeel,https://open.spotify.com/embed/track/3ekTeAvIzwM2lKKHdQaEW0?utm_source=generator,0.625,0.152,0.0928,0.8091421079293185,0.331,energetic
54,Choosuko Padhilanga,K. Chakravarthy,https://open.spotify.com/embed/track/2UCdM3QKsW0WcnCdn9uKc5?utm_source=generator,0.406,0.92,0.372,0.8694835960547096,0.0452,Chill
55,Vinaro Bhagyamu,M. M. Keeravani,https://open.spotify.com/embed/track/14tPv8NXClmhURwN4Sctta?utm_source=generator,0.411,0.892,0.677,0.8250841801007182,0.201,cheerful
56,Naa Manasuney,Devi Sri Prasad,https://open.spotify.com/embed/track/6DxVjDeLpPPimmiqSv05hd?utm_source=generator,0.764,0.475,0.4,0.6960874877082155,0.121,romantic
57,Light Theesko,Devi Sri Prasad,https://open.spotify.com/embed/track/2N4EHEQjuB9q6S8vL6xl2L?utm_source=generator,0.786,0.164,0.356,0.8409666557406359,0.116,energetic
58,Pavuraniki Panjaraniki,Ilaiyaraaja,https://open.spotify.com/embed/track/42RT5sjq6SnSY9njQ9B4dk?utm_source=generator,0.734,0.778,0.121,0.7142048332787032,0.0477,Chill
59,"Ranjithame (From ""Vaarasudu"") [Telugu]",Anurag Kulkarni,https://open.spotify.com/embed/track/0gZibDOwioMCck3d5nExjl?utm_source=generator,0.535,0.601,0.0697,0.7695402127596174,0.133,romantic
60,DJ Saranam Bhaje Bhaje,Devi Sri Prasad,https://open.spotify.com/embed/track/0EpsTbY4ZhvqZuPh46bE60?utm_source=generator,0.689,0.0669,0.14,0.8559551834083257,0.151,energetic
61,Thanuvantha,Sinjith Yerramilli,https://open.spotify.com/embed/track/3N3jaiTj08UKOPgM639miD?utm_source=generator,0.325,0.425,0.0734,0.5555588664739712,0.032,romantic
62,Choododde Nannu,Devi Sri Prasad,https://open.spotify.com/embed/track/1RCrBXLN9cn4WmbpT9uJGJ?utm_source=generator,0.807,0.0477,0.0944,0.74537381924372,0.0473,energetic
63,"Jigelu Rani (From ""Rangasthalam"")",Devi Sri Prasad,https://open.spotify.com/embed/track/1leE0lg8KIbQAsAnGt9Izn?utm_source=generator,0.703,0.706,0.147,0.8083375547543133,0.207,romantic
64,Daawath,Rahul Sipligunj,https://open.spotify.com/embed/track/3Bv6Jghbq72NqEqWnkqUOj?utm_source=generator,0.823,0.339,0.0887,0.8231472928275575,0.104,energetic
65,Undiporaadhey - Sad Version,Radhan,https://open.spotify.com/embed/track/18r28YOE2nO8hU0bv0lmcv?utm_source=generator,0.533,0.93,0.0655,0.5908102148454961,0.0479,Chill
66,Bujjulu Bujjulu,M. M. Keeravani,https://open.spotify.com/embed/track/31NymtGVu5wUjUzvaJaF9y?utm_source=generator,0.763,0.564,0.318,0.8473434846091957,0.248,romantic
67,Mind Block,Devi Sri Prasad,https://open.spotify.com/embed/track/4q4PNCWRo90nUTILn6Y048?utm_source=generator,0.922,0.645,0.0972,0.8176346136654847,0.216,romantic
68,Malliyalaara,Ghantasala,https://open.spotify.com/embed/track/7xE6g8ncPtqJ0xbkaK1tVn?utm_source=generator,0.426,0.97,0.328,0.7383712267946005,0.0327,Chill
69,Naa Intimundunna,A.R. Rahman,https://open.spotify.com/embed/track/61zTaISAG8jVtWL9N4pQF0?utm_source=generator,0.753,0.476,0.363,0.7999642420811109,0.0583,romantic
70,Edo Oka Raagam Female,S.A. Rajkumar,https://open.spotify.com/embed/track/51nEL2KVPRucESEZVXeM1m?utm_source=generator,0.647,0.676,0.126,0.7596471885336273,0.0275,romantic
71,Laila O Lailaa,Thaman S,https://open.spotify.com/embed/track/5smKL9alAG4yVzSLRFqmHQ?utm_source=generator,0.795,0.321,0.231,0.735033821031616,0.0895,energetic
72,Colorful Chilaka,Praveen Lakaraju,https://open.spotify.com/embed/track/78Ew8m4IHFovprNMyj4E2y?utm_source=generator,0.799,0.694,0.049,0.7915909294079084,0.0951,romantic
73,Maha Ganapathim - Instrumental,Various Artists,https://open.spotify.com/embed/track/6VjNwJfOnTm5oErbY2nUnr?utm_source=generator,0.476,0.488,0.0837,0.789594445603266,0.0328,romantic
74,"Oh Sita Hey Rama (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar,https://open.spotify.com/embed/track/1hYaQRlsuEW4kMjjmjyow3?utm_source=generator,0.636,0.591,0.0908,0.6181054262641915,0.0453,romantic
75,Mansannadi Annadi,S.A. Rajkumar,https://open.spotify.com/embed/track/60yhujZTdl43vgo1g0XlMa?utm_source=generator,0.777,0.0612,0.321,0.6781191334664323,0.0465,energetic
76,Urike Urike,Various Artists,https://open.spotify.com/embed/track/7dT21sIYXtxJpIEBIdUSuu?utm_source=generator,0.567,0.377,0.0939,0.6869096218600078,0.0453,romantic
77,"Mukku Pudaka (From ""Kalyanamasthu)",RR Dhruvan,https://open.spotify.com/embed/track/2ZZoYitRGXg0S2ixDtBqmS?utm_source=generator,0.567,0.498,0.0255,0.8369438898656099,0.229,romantic
78,Emaindhi Eevela,Yuvan Shankar Raja,https://open.spotify.com/embed/track/3E8mVTnCMmXJNq6Pbcfkp7?utm_source=generator,0.799,0.178,0.19,0.8000834351440747,0.0276,energetic
79,Guggu Guggu Gudisundi,K. Chakravarthy,https://open.spotify.com/embed/track/1tsWQleebBvYp8ztUDQWte?utm_source=generator,0.632,0.914,0.246,0.71250633213147,0.127,Chill
